year ,anom
1.96001E+11,-0.66
1.96101E+11,0.05
1.96201E+11,-0.11
1.96301E+11,-0.13
1.96401E+11,-0.22
1.96501E+11,0.25
1.96601E+11,-0.5
1.96701E+11,-0.22
1.96801E+11,-0.39
1.96901E+11,-0.03
1.97001E+11,-0.1
1.97101E+11,-0.22
1.97201E+11,0.15
1.97301E+11,0.54
1.97401E+11,-0.7
1.97501E+11,-0.22
1.97601E+11,-0.75
1.97701E+11,-0.04
1.97801E+11,-0.31
1.97901E+11,0.37
1.98001E+11,0.74
1.98101E+11,0.27
1.98201E+11,-0.04
1.98301E+11,0.33
1.98401E+11,-0.38
1.98501E+11,0.21
1.98601E+11,0.22
1.98701E+11,0.17
1.98801E+11,0.73
1.98901E+11,-0.02
1.99001E+11,0.47
1.99101E+11,0.6
1.99201E+11,0.12
1.99301E+11,0.31
1.99401E+11,0.18
1.99501E+11,0.16
1.99601E+11,0.6
1.99701E+11,0.3
1.99801E+11,0.97
1.99901E+11,0.32
2.00001E+11,-0.04
2.00101E+11,0.05
2.00201E+11,0.71
2.00301E+11,0.69
2.00401E+11,0.54
2.00501E+11,1.16
2.00601E+11,0.5
2.00701E+11,0.76
2.00801E+11,0.45
2.00901E+11,0.93
2.01001E+11,0.33
2.01101E+11,0
2.01201E+11,0.24
2.01301E+11,1.33
2.01401E+11,1.04
2.01501E+11,0.94
2.01601E+11,0.99
